Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0464613483877656,0.0140707076805598,0.0203480222228134,0,0,0,30.1843359271744,0.502694922185776,-1.39844087411626E-18,2.92897502702651E-17,0.502694922185776,-1.43318530348414E-17,0.740436652883217,0,0,0,0,0,0,package://Urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Urdf/meshes/base_link.STL,,Base-1,Origin_global,Axis_Joint6,Joint6,revolute,0.0094648,0.014522,0.24788,-1.4549,0.92347,2.6583,Link5,0,0,1,0,0,-6.1087,6.1087,,,,,,,,
Link1,0.0793572464538077,-0.00124591678102029,0.220458925407225,0,0,0,85.6566874789417,1.54688392454027,-0.0456850642678115,-0.35476451485234,6.7389510767348,0.00394956847462728,6.77710018420679,0,0,0,0,0,0,package://Urdf/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Urdf/meshes/Link1.STL,,GLied1-1,Origin_Joint1,Axis_Joint1,Joint1,revolute,0.046461,0.014071,0.12658,0,0,-3.1126,base_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
Link2,-0.589792449130738,0.0728314824790871,0.262790079429743,0,0,0,51.8329786183893,0.477806676271798,0.9926300522246,0.209693869166863,8.39359110079786,-0.0258943665927912,8.45194963606366,0,0,0,0,0,0,package://Urdf/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Urdf/meshes/Link2.STL,,GLied2-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,-0.34871,0,0.25746,1.5708,0.95413,3.1416,Link1,0,0,1,0,0,-3.2289,1.1345,,,,,,,,
Link3,-0.534970937540537,-0.127977225216139,0.075603587101308,0,0,0,27.6329069261582,0.105723642243394,-0.133061351411289,-0.00842003783200042,3.88562710428054,-0.000293404637660863,3.89906166668563,0,0,0,0,0,0,package://Urdf/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Urdf/meshes/Link3.STL,,GLied3-1,Origin_Joint3,Axis_Joint3,Joint3,revolute,-1.20000000000001,0,0.36512066324591,0,0,-2.50263118864038,Link2,0,0,1,0,0,-3.194,3.0543,,,,,,,,
Link4,-0.0991213138241323,0.0535427397968273,0.232880360393054,0,0,0,0.850036432245057,0.00243540489143828,5.42101086242752E-20,-1.0448998437329E-17,0.00243540489143828,1.09504419421036E-17,0.000840064820813022,0,0,0,0,0,0,package://Urdf/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Urdf/meshes/Link4.STL,,GLied4-2,Origin_Joint4,Axis_Joint4,Joint4,revolute,-1.14996945665964,-0.0398016920240907,0.0752588050980933,-1.5707963267949,0.495267839274662,1.5707963267949,Link3,0,0,1,0,0,-6.10865238198015,6.10865238198015,,,,,,,,
Link5,0.0900280533008435,-0.0677253191155266,0.243874852340006,0,0,0,1.02538589602909,0.00421724348647574,2.57301639363728E-06,6.86480086565405E-08,0.00421953119624286,3.04276409059069E-08,0.00080534690693793,0,0,0,0,0,0,package://Urdf/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Urdf/meshes/Link5.STL,,GLied5-1,Origin_Joint5,Axis_Joint5,Joint5,revolute,0,0,0.146319270574909,0,0,-2.99190622753308,Link4,0,0,1,0,0,-2.0943951023932,2.0943951023932,,,,,,,,
Link6,7.86188403267829E-09,-0.105371321991731,-0.0162962824427068,0,0,0,1.55208868418314,0.00977140293103126,1.39499086576882E-09,1.00101813773831E-11,0.0031307636496264,3.58711938757837E-09,0.0081378067900355,0,0,0,0,0,0,package://Urdf/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Urdf/meshes/Link6.STL,,GLied6-1,Origin_Joint62,Axis_Joint6,Joint6,continuous,0.0811994599627952,-0.0813810989326457,0.34362940588718,-1.65079803320452,0.509746721592292,2.52654531819412,Link5,-0.0680762054592881,-0.121386911490105,0.99026806874157,0,0,-6.1087,6.1087,,,,,,,,
Endeffektor,0.138898619231038,0.191893787490268,-0.000264983107528205,0,0,0,0.0538557964417455,3.19961693378641E-05,-7.69019198907528E-07,1.93039857011314E-06,2.95486578988522E-05,7.13263583758963E-06,1.4516992585414E-05,0,0,0,0,0,0,package://Urdf/meshes/Endeffektor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Urdf/meshes/Endeffektor.STL,,GLied7-1,Origin_Endeffektor,Axis_Endeffektor,Endeffektor,revolute,0.215447561272202,-0.128958924945047,-0.0318164852676601,1.44045339925499,0.872427010505441,-2.82137203630719,Link6,0,0,1,0,0,0,0,,,,,,,,
